regime,mode,model,sigma,n_points,hausdorff_local,diameter_local,H_norm_global,H_norm_local,poincare_hits_truth,poincare_hits_analysis,lyap_proxy_truth,lyap_proxy_analysis
Baseline,x,baseline,0.05,45,39.94133793958456,36.41513221925313,0.624885018984655,1.0968335278614498,1,1,-0.024691324592805604,-0.011362966922589124
Baseline,x,baseline,0.1,45,40.005143935763904,36.41513221925313,0.625883268246965,1.0985857114261057,1,1,-0.024691324592805604,-0.008561433959698323
Baseline,x,baseline,0.5,45,41.23673371840072,36.41513221925313,0.6451515763308959,1.1324065355610147,1,1,-0.024691324592805604,-0.005480498435743861
Baseline,x,baseline,1.0,45,40.48762659239021,36.41513221925313,0.633431743075268,1.1118352213749179,1,2,-0.024691324592805604,-0.006437058970626619
Baseline,x2,baseline,0.05,45,41.082442033904805,36.41513221925313,0.6427376721612048,1.12816951443565,1,1,-0.024691324592805604,0.00417482092760612
Baseline,x2,baseline,0.1,45,40.846541353990084,36.41513221925313,0.6390469895638923,1.1216914196014922,1,1,-0.024691324592805604,0.003533855773881581
Baseline,x2,baseline,0.5,45,40.33172294747682,36.41513221925313,0.6309926196723704,1.1075539340250682,1,1,-0.024691324592805604,0.0024179837252939836
Baseline,x2,baseline,1.0,45,40.977142177449025,36.41513221925313,0.6410902485596224,1.125277863354397,1,1,-0.024691324592805604,0.0025808547757202862
Baseline,xy,baseline,0.05,45,40.071292658534865,36.41513221925313,0.6269181696302654,1.1004022288665116,1,1,-0.024691324592805604,0.004892600422948402
Baseline,xy,baseline,0.1,45,40.22543520358317,36.41513221925313,0.6293297405028923,1.1046351544569013,1,1,-0.024691324592805604,0.009488647430153544
Baseline,xy,baseline,0.5,45,40.36921402388904,36.41513221925313,0.6315791701787917,1.1085834806483372,1,1,-0.024691324592805604,0.008105204549859793
Baseline,xy,baseline,1.0,45,41.05158828461914,36.41513221925313,0.6422549631008002,1.127322236191543,1,1,-0.024691324592805604,0.005106034203480366
FixedMean,x,gru,0.05,46,35.447061685495655,41.898307039707795,0.5545717533998457,0.8460261091671752,1,1,-0.016799550885555944,-1.5616909501179092e-05
FixedMean,x,gru,0.1,46,34.790586029526786,41.898307039707795,0.5443011459564102,0.8303577993391262,1,1,-0.016799550885555944,0.014272547473960418
FixedMean,x,gru,0.5,46,37.65903559997586,41.898307039707795,0.5891782396330884,0.8988199824944167,1,1,-0.016799550885555944,-0.0292468657656801
FixedMean,x,gru,1.0,46,35.126681821675135,41.898307039707795,0.5495593880757644,0.8383795027418395,1,1,-0.016799550885555944,0.03194352293176265
FixedMean,x,lstm,0.05,46,55.71976367911808,41.898307039707795,0.8717395906244484,1.3298810289950722,1,1,-0.016799550885555944,0.03563371905933513
FixedMean,x,lstm,0.1,46,50.73689335165989,41.898307039707795,0.7937822366699661,1.2109533042367464,1,1,-0.016799550885555944,0.037038136969515474
FixedMean,x,lstm,0.5,46,47.60744532300201,41.898307039707795,0.7448218039033588,1.1362617892384903,1,1,-0.016799550885555944,0.0009367889583092599
FixedMean,x,lstm,1.0,46,34.53482728363758,41.898307039707795,0.5402997825313238,0.8242535253490861,1,1,-0.016799550885555944,0.0025396429238920912
FixedMean,x,mlp,0.05,46,73.11813252635677,41.898307039707795,1.1439382852163469,1.7451333405204505,1,1,-0.016799550885555944,0.03130820170251666
FixedMean,x,mlp,0.1,46,60.548079524079576,41.898307039707795,0.9472789289161806,1.4451199535746646,1,1,-0.016799550885555944,0.021466392093038515
FixedMean,x,mlp,0.5,46,42.53233850445267,41.898307039707795,0.6654214036099243,1.0151326272955132,1,1,-0.016799550885555944,0.00620442529243704
FixedMean,x,mlp,1.0,46,73.1976394447896,41.898307039707795,1.1451821765028494,1.747030957012627,1,1,-0.016799550885555944,0.023606588985314897
FixedMean,x2,gru,0.05,46,61.57727710902975,41.898307039707795,0.9633807969453225,1.469684134269956,1,1,-0.016799550885555944,0.019398760170691
FixedMean,x2,gru,0.1,46,64.53614198307618,41.898307039707795,1.0096724443555385,1.5403042877583117,1,1,-0.016799550885555944,0.018795217307599765
FixedMean,x2,gru,0.5,46,67.42319095003333,41.898307039707795,1.0548405268883645,1.6092103885279931,1,1,-0.016799550885555944,0.021477916054691838
FixedMean,x2,gru,1.0,46,58.89739461227303,41.898307039707795,0.9214538482938902,1.4057225404466793,1,1,-0.016799550885555944,0.02569387290641693
FixedMean,x2,lstm,0.05,46,65.354851976222,41.898307039707795,1.022481219324061,1.5598446952590233,1,1,-0.016799550885555944,0.017642739566799424
FixedMean,x2,lstm,0.1,46,57.622313408356185,41.898307039707795,0.9015051138894051,1.3752897785045697,1,1,-0.016799550885555944,0.030006678178653694
FixedMean,x2,lstm,0.5,46,63.521310668333335,41.898307039707795,0.9937953376262014,1.5160829913278602,1,1,-0.016799550885555944,0.02393818824996266
FixedMean,x2,lstm,1.0,46,67.84190920167221,41.898307039707795,1.061391403151457,1.6192040680158553,1,1,-0.016799550885555944,0.023540557875443572
FixedMean,x2,mlp,0.05,46,58.20290995434047,41.898307039707795,0.9105885873626423,1.389147057879463,1,1,-0.016799550885555944,0.013581760922883912
FixedMean,x2,mlp,0.1,46,61.43249687044485,41.898307039707795,0.9611157000105734,1.4662286190280707,1,1,-0.016799550885555944,0.0003198010076757728
FixedMean,x2,mlp,0.5,46,57.99880928811112,41.898307039707795,0.9073954181982936,1.3842757234354262,1,1,-0.016799550885555944,0.013567276497957598
FixedMean,x2,mlp,1.0,46,61.171508494388,41.898307039707795,0.9570325186566152,1.4599995278189795,1,1,-0.016799550885555944,0.004559257403222859
